# Frequency in Hz, Level in dB
5.000000000000000000e+01,-9.681870812184733666e+01
5.285000000000000142e+01,-9.635586099943257921e+01
5.586999999999999744e+01,-9.432602730187899454e+01
5.904999999999999716e+01,-9.060886099363455060e+01
6.242000000000000171e+01,-8.846814613126541360e+01
6.598000000000000398e+01,-8.809547515650699268e+01
6.975000000000000000e+01,-8.775495634133064016e+01
7.373000000000000398e+01,-8.820062624916016603e+01
7.793000000000000682e+01,-8.774568878513225911e+01
8.237999999999999545e+01,-8.747095864280119315e+01
8.707999999999999829e+01,-8.692782141443989019e+01
9.204000000000000625e+01,-8.779689764339747171e+01
9.729000000000000625e+01,-8.547093971462099660e+01
1.028400000000000034e+02,-8.423992029803009984e+01
1.087099999999999937e+02,-8.364038178735475526e+01
1.149099999999999966e+02,-8.126612546712453877e+01
1.214699999999999989e+02,-7.967231858315977888e+01
1.284000000000000057e+02,-7.971474661853345367e+01
1.357199999999999989e+02,-8.038349074193018851e+01
1.434600000000000080e+02,-8.096027076517169974e+01
1.516500000000000057e+02,-8.045764318992104336e+01
1.603000000000000114e+02,-7.856208342181773219e+01
1.694399999999999977e+02,-7.826749608617726039e+01
1.791100000000000136e+02,-7.829422863609933358e+01
1.893199999999999932e+02,-7.904695705490296120e+01
2.001200000000000045e+02,-7.911318419652650391e+01
2.115399999999999920e+02,-7.914879329966882437e+01
2.236100000000000136e+02,-7.916943475610418091e+01
2.363600000000000136e+02,-7.889756476136641083e+01
2.498499999999999943e+02,-7.874826028493963292e+01
2.641000000000000227e+02,-7.901546231070443582e+01
2.791600000000000250e+02,-7.903476690687605810e+01
2.950899999999999750e+02,-7.884578654214692506e+01
3.119200000000000159e+02,-7.880891620610076131e+01
3.297099999999999795e+02,-7.909044617761587403e+01
3.485199999999999818e+02,-7.926379510861127642e+01
3.683999999999999773e+02,-7.884940324026376857e+01
3.894200000000000159e+02,-7.815825336425470482e+01
4.116299999999999955e+02,-7.785550425935632290e+01
4.351100000000000136e+02,-7.778886744256075758e+01
4.599300000000000068e+02,-7.804412398643610516e+01
4.861700000000000159e+02,-7.776466265557770896e+01
5.138999999999999773e+02,-7.764028030005945880e+01
5.432200000000000273e+02,-7.840245443539856751e+01
5.742100000000000364e+02,-7.755494126647543851e+01
6.069600000000000364e+02,-7.691630685379496413e+01
6.415900000000000318e+02,-7.649954022832847045e+01
6.781799999999999500e+02,-7.758201229282629185e+01
7.168700000000000045e+02,-7.788750542981969716e+01
7.577599999999999909e+02,-7.686387721557213126e+01
8.009900000000000091e+02,-7.739713213737832120e+01
8.466799999999999500e+02,-7.788027054502400404e+01
8.949800000000000182e+02,-7.691032069469953569e+01
9.460299999999999727e+02,-7.656806552862767035e+01
1.000000000000000000e+03,-7.536434905599770673e+01
1.057039999999999964e+03,-7.562760986383992190e+01
1.117339999999999918e+03,-7.630626494049393216e+01
1.181079999999999927e+03,-7.566667620838164510e+01
1.248450000000000045e+03,-7.627543423566913816e+01
1.319670000000000073e+03,-7.558449491647844809e+01
1.394950000000000045e+03,-7.545201393310057369e+01
1.474519999999999982e+03,-7.595772164838187734e+01
1.558640000000000100e+03,-7.580315258303130577e+01
1.647549999999999955e+03,-7.649469632559944898e+01
1.741529999999999973e+03,-7.615827478036700882e+01
1.840880000000000109e+03,-7.615673198089014306e+01
1.945890000000000100e+03,-7.617687408097708612e+01
2.056889999999999873e+03,-7.660357338368197588e+01
2.174219999999999800e+03,-7.684566582247050803e+01
2.298250000000000000e+03,-7.751808426525742846e+01
2.429349999999999909e+03,-7.720321960185451360e+01
2.567929999999999836e+03,-7.682154250151478436e+01
2.714420000000000073e+03,-7.633288134741312092e+01
2.869260000000000218e+03,-7.599364991676335990e+01
3.032929999999999836e+03,-7.567278632157564289e+01
3.205949999999999818e+03,-7.487754380367984197e+01
3.388829999999999927e+03,-7.469021075465695958e+01
3.582139999999999873e+03,-7.352698979347967168e+01
3.786480000000000018e+03,-7.268936238326256216e+01
4.002480000000000018e+03,-7.271216595835380758e+01
4.230789999999999964e+03,-7.260375479151403511e+01
4.472140000000000327e+03,-7.249948248544394858e+01
4.727250000000000000e+03,-7.136532320950027497e+01
4.996909999999999854e+03,-7.226161936255482487e+01
5.281949999999999818e+03,-7.262268088540429289e+01
5.583260000000000218e+03,-7.178947514617816239e+01
5.901750000000000000e+03,-7.229255082545149946e+01
6.238409999999999854e+03,-7.270876139750077982e+01
6.594270000000000437e+03,-7.343538138333596521e+01
6.970439999999999600e+03,-7.584797412834593899e+01
7.368060000000000400e+03,-7.705879517254716404e+01
7.788369999999999891e+03,-7.379767183187124147e+01
8.232649999999999636e+03,-7.237632903471346424e+01
8.702270000000000437e+03,-7.659783726612279509e+01
9.198690000000000509e+03,-7.466346821171615034e+01
9.723420000000000073e+03,-7.567713196127564856e+01
1.027809000000000015e+04,-7.798175312462898034e+01
1.086438999999999942e+04,-8.079695112505548593e+01
1.148413999999999942e+04,-8.298232914438870012e+01
1.213923999999999978e+04,-8.381372365112405021e+01
1.283171999999999935e+04,-8.287185320581851045e+01
1.356369000000000051e+04,-8.551912095255462987e+01
1.433742000000000007e+04,-8.867360950769563033e+01
1.515529000000000087e+04,-8.966005683720104003e+01
1.601980999999999949e+04,-9.039188506501655240e+01
1.693365000000000146e+04,-9.078378627784852029e+01
1.789961999999999898e+04,-9.176816957716590650e+01
1.892068000000000029e+04,-9.912862503061830921e+01
2.000000000000000000e+04,-1.018706011918212795e+02
