# Frequency in Hz, Level in dB
5.000000000000000000e+01,-7.548916658020483794e+01
5.285000000000000142e+01,-8.347812903101132065e+01
5.586999999999999744e+01,-8.743311380745718964e+01
5.904999999999999716e+01,-8.257231295986288444e+01
6.242000000000000171e+01,-9.692032651255944131e+01
6.598000000000000398e+01,-1.066672810721598239e+02
6.975000000000000000e+01,-8.489320510286520971e+01
7.373000000000000398e+01,-8.529907980156131941e+01
7.793000000000000682e+01,-8.249758718333889362e+01
8.237999999999999545e+01,-8.802915415740416449e+01
8.707999999999999829e+01,-8.344600223355152480e+01
9.204000000000000625e+01,-8.810735688675708843e+01
9.729000000000000625e+01,-8.932332626019196198e+01
1.028400000000000034e+02,-8.991181189716590438e+01
1.087099999999999937e+02,-8.558345684558963740e+01
1.149099999999999966e+02,-8.328448912872256926e+01
1.214699999999999989e+02,-8.545115397958288384e+01
1.284000000000000057e+02,-9.622419415458716685e+01
1.357199999999999989e+02,-7.294351107280584756e+01
1.434600000000000080e+02,-8.919018219058584407e+01
1.516500000000000057e+02,-9.000075266176185096e+01
1.603000000000000114e+02,-9.145671086483021384e+01
1.694399999999999977e+02,-8.916305749033311656e+01
1.791100000000000136e+02,-8.761610746522428883e+01
1.893199999999999932e+02,-9.229176817083592255e+01
2.001200000000000045e+02,-9.570551078272517032e+01
2.115399999999999920e+02,-1.031796628306527310e+02
2.236100000000000136e+02,-9.368038550890231875e+01
2.363600000000000136e+02,-8.678529738820300565e+01
2.498499999999999943e+02,-8.969678003904840580e+01
2.641000000000000227e+02,-9.318143987400723915e+01
2.791600000000000250e+02,-8.772454282956977067e+01
2.950899999999999750e+02,-9.312880963953162450e+01
3.119200000000000159e+02,-9.424107924147159565e+01
3.297099999999999795e+02,-9.410591729380544734e+01
3.485199999999999818e+02,-9.092203250363444056e+01
3.683999999999999773e+02,-7.127867679273711587e+01
3.894200000000000159e+02,-8.497874666339939154e+01
4.116299999999999955e+02,-8.950747770925811153e+01
4.351100000000000136e+02,-9.021199173514712299e+01
4.599300000000000068e+02,-9.057156872953338222e+01
4.861700000000000159e+02,-9.748301731046589680e+01
5.138999999999999773e+02,-9.057136790157250061e+01
5.432200000000000273e+02,-9.334332490291950535e+01
5.742100000000000364e+02,-9.167736393125792915e+01
6.069600000000000364e+02,-8.691723347122032806e+01
6.415900000000000318e+02,-8.765312484905487622e+01
6.781799999999999500e+02,-8.783617158950868031e+01
7.168700000000000045e+02,-9.217778072251221033e+01
7.577599999999999909e+02,-8.445008912642563814e+01
8.009900000000000091e+02,-8.633059104897638747e+01
8.466799999999999500e+02,-9.199388639670893042e+01
8.949800000000000182e+02,-8.432655842086177245e+01
9.460299999999999727e+02,-9.242818657370102642e+01
1.000000000000000000e+03,-8.265582217276765675e+01
1.057039999999999964e+03,-8.272168620589435761e+01
1.117339999999999918e+03,-9.128726893125804054e+01
1.181079999999999927e+03,-9.907446549062341035e+01
1.248450000000000045e+03,-8.805239820987466715e+01
1.319670000000000073e+03,-1.072663737504626056e+02
1.394950000000000045e+03,-8.987407888293127201e+01
1.474519999999999982e+03,-9.192683117634814494e+01
1.558640000000000100e+03,-9.225176234888552074e+01
1.647549999999999955e+03,-9.252018334018923440e+01
1.741529999999999973e+03,-8.633403139062778564e+01
1.840880000000000109e+03,-9.289537548359228936e+01
1.945890000000000100e+03,-8.980555381556642658e+01
2.056889999999999873e+03,-9.043383328994214310e+01
2.174219999999999800e+03,-9.278550306040361306e+01
2.298250000000000000e+03,-9.604078664959402545e+01
2.429349999999999909e+03,-8.804413356298290694e+01
2.567929999999999836e+03,-8.673485604756052680e+01
2.714420000000000073e+03,-9.146224316636590856e+01
2.869260000000000218e+03,-9.488910678501841289e+01
3.032929999999999836e+03,-8.925845605095521762e+01
3.205949999999999818e+03,-9.508064671236923004e+01
3.388829999999999927e+03,-9.081746348971272198e+01
3.582139999999999873e+03,-8.686275967673365983e+01
3.786480000000000018e+03,-8.669335207897857742e+01
4.002480000000000018e+03,-1.038336799291085413e+02
4.230789999999999964e+03,-8.977138961378781801e+01
4.472140000000000327e+03,-8.556212290522299213e+01
4.727250000000000000e+03,-9.318207725990691870e+01
4.996909999999999854e+03,-9.517146372239224661e+01
5.281949999999999818e+03,-8.976467874432367466e+01
5.583260000000000218e+03,-8.632276912447241557e+01
5.901750000000000000e+03,-8.176560198814745206e+01
6.238409999999999854e+03,-8.447083603076524128e+01
6.594270000000000437e+03,-8.073915364225406677e+01
6.970439999999999600e+03,-8.288729128934650703e+01
7.368060000000000400e+03,-7.771564841064225959e+01
7.788369999999999891e+03,-9.427481881910753714e+01
8.232649999999999636e+03,-8.469180507715957162e+01
8.702270000000000437e+03,-8.433744683674966325e+01
9.198690000000000509e+03,-8.251943812004820700e+01
9.723420000000000073e+03,-9.017643476786886936e+01
1.027809000000000015e+04,-9.581648729958648403e+01
1.086438999999999942e+04,-1.072347744645819745e+02
1.148413999999999942e+04,-8.594452355721661263e+01
1.213923999999999978e+04,-8.943804009281639367e+01
1.283171999999999935e+04,-1.044512607258804167e+02
1.356369000000000051e+04,-8.871281545467101637e+01
1.433742000000000007e+04,-9.200235831913441586e+01
1.515529000000000087e+04,-9.521318685254202308e+01
1.601980999999999949e+04,-9.652899981516733874e+01
1.693365000000000146e+04,-1.011461283212566826e+02
1.789961999999999898e+04,-8.731919058674806422e+01
1.892068000000000029e+04,-9.324124810778718597e+01
2.000000000000000000e+04,-1.066641979914965788e+02
