# Frequency in Hz, Level in dB
5.000000000000000000e+01,-7.532174824145019443e+01
5.285000000000000142e+01,-7.438726125658577359e+01
5.586999999999999744e+01,-6.960455121334088346e+01
5.904999999999999716e+01,-6.676755078447239100e+01
6.242000000000000171e+01,-6.562924119172467385e+01
6.598000000000000398e+01,-6.657275348251489788e+01
6.975000000000000000e+01,-6.669556504368998162e+01
7.373000000000000398e+01,-6.210848241842376893e+01
7.793000000000000682e+01,-7.078539833893184152e+01
8.237999999999999545e+01,-6.685671608842487501e+01
8.707999999999999829e+01,-6.870208815491545806e+01
9.204000000000000625e+01,-6.740650140367182530e+01
9.729000000000000625e+01,-6.767516681564958958e+01
1.028400000000000034e+02,-6.788599054051132953e+01
1.087099999999999937e+02,-6.498179446758705069e+01
1.149099999999999966e+02,-6.371293773052533282e+01
1.214699999999999989e+02,-6.281644238128625091e+01
1.284000000000000057e+02,-6.330181586831299967e+01
1.357199999999999989e+02,-6.401310502905343469e+01
1.434600000000000080e+02,-6.436260138256118069e+01
1.516500000000000057e+02,-6.419541561320606604e+01
1.603000000000000114e+02,-6.271845064963474670e+01
1.694399999999999977e+02,-6.204919789207283287e+01
1.791100000000000136e+02,-6.210306874884570050e+01
1.893199999999999932e+02,-6.276554410199754130e+01
2.001200000000000045e+02,-6.302271111846974350e+01
2.115399999999999920e+02,-6.273819848936231836e+01
2.236100000000000136e+02,-6.241796603602966798e+01
2.363600000000000136e+02,-6.247628624478112869e+01
2.498499999999999943e+02,-6.223343794906789839e+01
2.641000000000000227e+02,-6.213799584772922202e+01
2.791600000000000250e+02,-6.209011391150031756e+01
2.950899999999999750e+02,-6.174330177852594659e+01
3.119200000000000159e+02,-6.164252265910047868e+01
3.297099999999999795e+02,-6.167965753022713926e+01
3.485199999999999818e+02,-6.181310543522941714e+01
3.683999999999999773e+02,-6.192790174661222835e+01
3.894200000000000159e+02,-6.120183526596394330e+01
4.116299999999999955e+02,-6.120428818111078328e+01
4.351100000000000136e+02,-6.059641485901998692e+01
4.599300000000000068e+02,-6.059323907319137703e+01
4.861700000000000159e+02,-6.032327439237089095e+01
5.138999999999999773e+02,-6.033784235347361147e+01
5.432200000000000273e+02,-6.104439950280607263e+01
5.742100000000000364e+02,-6.047087265444115900e+01
6.069600000000000364e+02,-6.011206956700581117e+01
6.415900000000000318e+02,-5.928972063516101798e+01
6.781799999999999500e+02,-6.013466435848820169e+01
7.168700000000000045e+02,-6.071490742875303681e+01
7.577599999999999909e+02,-6.008457740529369318e+01
8.009900000000000091e+02,-6.032300637038036228e+01
8.466799999999999500e+02,-6.084513057419084703e+01
8.949800000000000182e+02,-6.024260786628332909e+01
9.460299999999999727e+02,-6.012832987059530865e+01
1.000000000000000000e+03,-5.861827627488374048e+01
1.057039999999999964e+03,-5.887123879627949918e+01
1.117339999999999918e+03,-5.955807441428132165e+01
1.181079999999999927e+03,-5.899288337954089201e+01
1.248450000000000045e+03,-5.946624351297833044e+01
1.319670000000000073e+03,-5.940937790056918288e+01
1.394950000000000045e+03,-5.890549183188934279e+01
1.474519999999999982e+03,-5.934747220558880798e+01
1.558640000000000100e+03,-5.904173587423907321e+01
1.647549999999999955e+03,-6.019653394038761007e+01
1.741529999999999973e+03,-5.946442094645521337e+01
1.840880000000000109e+03,-5.910104671534482890e+01
1.945890000000000100e+03,-5.915181256227391060e+01
2.056889999999999873e+03,-5.991039412670927078e+01
2.174219999999999800e+03,-6.028205412793713691e+01
2.298250000000000000e+03,-6.098691298364445146e+01
2.429349999999999909e+03,-6.065389589913026214e+01
2.567929999999999836e+03,-6.050497698542660885e+01
2.714420000000000073e+03,-6.002215801660771177e+01
2.869260000000000218e+03,-6.035658969285964304e+01
3.032929999999999836e+03,-5.999354687293818245e+01
3.205949999999999818e+03,-6.005350136709331110e+01
3.388829999999999927e+03,-5.990849656628802222e+01
3.582139999999999873e+03,-5.904776385032560171e+01
3.786480000000000018e+03,-5.852271343515106850e+01
4.002480000000000018e+03,-5.893979306609203661e+01
4.230789999999999964e+03,-5.879695024670188275e+01
4.472140000000000327e+03,-5.912131253174086254e+01
4.727250000000000000e+03,-5.871397847279415316e+01
4.996909999999999854e+03,-5.939359328300805885e+01
5.281949999999999818e+03,-5.989008320527093332e+01
5.583260000000000218e+03,-5.930229226686829236e+01
5.901750000000000000e+03,-6.039242743450960660e+01
6.238409999999999854e+03,-5.996123175489609025e+01
6.594270000000000437e+03,-5.979328732651011080e+01
6.970439999999999600e+03,-6.033952122218155267e+01
7.368060000000000400e+03,-5.979211275378231960e+01
7.788369999999999891e+03,-6.117839171605012893e+01
8.232649999999999636e+03,-6.060987567427090283e+01
8.702270000000000437e+03,-5.994562919730571338e+01
9.198690000000000509e+03,-5.997249429165521661e+01
9.723420000000000073e+03,-6.059860921672321155e+01
1.027809000000000015e+04,-6.045763354914746657e+01
1.086438999999999942e+04,-6.121073149864820095e+01
1.148413999999999942e+04,-6.182759322850638739e+01
1.213923999999999978e+04,-6.173810385562639880e+01
1.283171999999999935e+04,-6.207124662922674929e+01
1.356369000000000051e+04,-6.299295101483232884e+01
1.433742000000000007e+04,-6.417977326267866545e+01
1.515529000000000087e+04,-6.427579296509183848e+01
1.601980999999999949e+04,-6.384962737139041167e+01
1.693365000000000146e+04,-6.428378355954077961e+01
1.789961999999999898e+04,-6.530906130324041214e+01
1.892068000000000029e+04,-6.665491418199843565e+01
2.000000000000000000e+04,-6.874699206821007635e+01
